総合順位,用語名,読み方,ランク,impact,category,小学生でもわかる解説,aliases
146,多要素認証,タヨウソニンショウ,A,65,it_dev,複数の方法で本人確認する安全な仕組み。,mfa|multi factor authentication
147,二段階認証,ニダンカイニンショウ,A,65,it_dev,二つの確認でログインを守る仕組み。,2fa|two factor authentication
148,シングルサインオン,シングルサインオン,A,65,it_dev,一回のログインで複数サービスを使える仕組み。,sso|single sign on
149,WAF,ワフ,A,65,it_dev,Webアプリを攻撃から守る見張り役。,waf|web application firewall
150,ファイアウォール,ファイアウォール,A,65,it_dev,怪しい通信を止めるネットの防火壁。,firewall
151,ゼロトラスト,ゼロトラスト,A,65,it_dev,誰も最初から信用しない前提で守る考え方。,zero trust
152,フィッシング,フィッシング,A,64,it_dev,偽メールなどでパスワードを盗む詐欺。,phishing
153,ランサムウェア,ランサムウェア,A,64,it_dev,データを人質にしてお金を要求する悪いソフト。,ransomware
154,マルウェア,マルウェア,A,64,it_dev,害を与えるために作られた悪意あるソフトの総称。,malware
155,情報セキュリティ,ジョウホウセキュリティ,A,64,it_dev,大事な情報を守り、安全に使えるようにすること。,cia security
156,SLA,エスエルエー,B,64,business,サービス品質について交わす約束。,service level agreement|sla
157,KPI,ケーピーアイ,B,64,business,ゴールに向かう途中の大事な指標。,kpi|key performance indicator
158,KGI,ケージーアイ,B,64,business,最終的に達成したい大きな目標。,kgi|key goal indicator
159,ROI,アールオーアイ,B,63,business,使ったお金に対してどれだけ効果が出たか。,return on investment|roi
160,PoC,ピーオーシー,B,63,business,本格導入前に小さく試すこと。,proof of concept|poc
161,MVP,エムブイピー,B,63,business,最低限の価値だけ入れてまず出す最初の版。,minimum viable product|mvp
162,アジャイル開発,アジャイルカイハツ,B,63,business,小さく作って何度も直しながら進める作り方。,agile
163,スクラム,スクラム,B,63,business,短い単位で協力して進める開発のやり方。,scrum
164,スプリント,スプリント,B,63,business,短い期間で区切って開発を進める単位。,sprint
165,カンバン,カンバン,B,62,business,作業の流れを見える化して進める方法。,kanban
166,ウォーターフォール,ウォーターフォール,B,62,business,順番どおりに後戻り少なく進める開発のやり方。,waterfall
167,ロードマップ,ロードマップ,B,62,business,これから何をどの順で進めるかの地図。,roadmap
168,マイルストーン,マイルストーン,B,62,business,途中で達成したい大事な目印。,milestone
169,アサイン,アサイン,B,62,business,人やAIに仕事を割り当てること。,assign
170,タスク,タスク,B,62,business,一つ一つの具体的な作業。,task
171,優先順位,ユウセンジュンイ,B,62,business,どれから先にやるかの順番。,priority
172,プライオリティ,プライオリティ,B,62,business,優先して取り組む度合い。,priority
173,リソース,リソース,B,61,business,人・時間・お金など使える資源。,resource
174,ボトルネック,ボトルネック,B,61,business,全体の速さを止めている一番細い部分。,bottleneck
175,デッドライン,デッドライン,B,61,business,絶対に守りたい締め切り。,deadline
176,ASAP,アサップ,B,61,business,できるだけ早くという意味。,asap
177,ペンディング,ペンディング,B,61,business,いったん保留にしておくこと。,pending
178,リスケ,リスケ,B,61,business,予定を組み直すこと。,reschedule
179,フィードバック,フィードバック,B,61,business,良かった点や直す点を返すこと。,feedback
180,ブラッシュアップ,ブラッシュアップ,B,60,business,何度も磨いて良くすること。,brush up
181,サマリー,サマリー,B,60,business,大事なところだけ短くまとめたもの。,summary
182,アジェンダ,アジェンダ,B,60,business,会議で話す内容の予定表。,agenda
183,コンセンサス,コンセンサス,B,60,business,みんなの合意。,consensus
184,エビデンス,エビデンス,B,60,business,判断のもとになる証拠。,evidence
185,スキーム,スキーム,B,60,business,全体の仕組みや枠組み。,scheme
186,コミット,コミット,B,60,business,やり切ると約束して本気で取り組むこと。,commit
187,マスト,マスト,B,60,business,必ずやるべきこと。,must
188,ビジネスモデル,ビジネスモデル,B,59,business,どう価値を届けてどう稼ぐかの設計。,business model
189,エコシステム,エコシステム,B,59,business,複数の会社やサービスが支え合う仕組み。,ecosystem
190,プラットフォーム,プラットフォーム,B,59,business,多くの人やサービスが集まる土台。,platform
191,プラットフォーマー,プラットフォーマー,B,59,business,大きな土台を持つ会社。,platformer
192,ディスラプション,ディスラプション,B,59,business,新技術が古いやり方を大きく変えること。,disruption
193,DX,ディーエックス,B,59,business,デジタルで仕事や会社を大きく良く変えること。,digital transformation|dx
194,デジタイゼーション,デジタイゼーション,B,59,business,紙などをデータに変えること。,digitization
195,デジタライゼーション,デジタライゼーション,B,58,business,デジタルで仕事のやり方自体を改善すること。,digitalization
196,データドリブン,データドリブン,B,58,business,勘ではなくデータをもとに決めること。,data driven
197,データドリブン経営,データドリブンケイエイ,B,58,business,経営判断をデータ中心で行うこと。,data driven management
198,CRM,シーアールエム,B,58,business,お客さん情報を管理して関係を深める仕組み。,customer relationship management|crm
199,SFA,エスエフエー,B,58,business,営業活動を見える化して助ける仕組み。,sales force automation|sfa
200,MA,エムエー,B,58,business,見込み客対応を自動化する仕組み。,marketing automation|ma
201,BI,ビーアイ,B,58,business,データをグラフなどで見やすくする仕組み。,business intelligence|bi
202,CDO,シーディーオー,B,57,business,会社のデジタル変革を率いる責任者。,chief digital officer|cdo
203,ERP,イーアールピー,B,57,business,会社全体の情報をまとめて管理する仕組み。,enterprise resource planning|erp
204,SCM,エスシーエム,B,57,business,仕入れから配送までの流れを管理すること。,supply chain management|scm
205,BPO,ビーピーオー,B,57,business,業務の一部を外部の専門会社に任せること。,business process outsourcing|bpo
206,UI,ユーアイ,B,57,business,画面の見た目や操作部分のこと。,user interface|ui
207,UX,ユーエックス,B,57,business,使った時に感じる体験の良さ。,user experience|ux
208,アクセシビリティ,アクセシビリティ,B,57,business,誰でも使いやすい状態にすること。,accessibility
209,ユーザビリティ,ユーザビリティ,B,56,business,迷わず使いやすい度合い。,usability
210,ペルソナ,ペルソナ,B,56,business,想定する典型的なお客さん像。,persona
211,ベネフィット,ベネフィット,B,56,business,お客さんが得られる本当の良いこと。,benefit
212,ブランディング,ブランディング,B,56,business,選ばれる印象や価値を育てること。,branding
213,LTV,エルティーブイ,B,56,business,一人のお客さんが長く生む価値。,life time value|ltv
214,CVR,シーブイアール,B,56,business,来た人のうち行動してくれた割合。,conversion rate|cvr
215,CTR,シーティーアール,B,55,business,見た人のうちクリックした割合。,click through rate|ctr
216,CPA,シーピーエー,B,55,business,一件獲得するのにかかった費用。,cost per acquisition|cpa
217,ROAS,ロアス,B,55,business,広告費に対して売上がどれだけ出たか。,return on ad spend|roas
218,KPIツリー,ケーピーアイツリー,B,55,business,目標と途中指標のつながりを木のように見せたもの。,kpi tree
219,OKR,オーケーアール,B,55,business,大きな目標と結果指標をセットで管理する方法。,okr|objectives and key results
220,3C分析,サンシーブンセキ,B,55,business,お客・競合・自社の3つから考える方法。,3c
221,4P分析,ヨンピーブンセキ,B,55,business,商品・価格・場所・宣伝で考える方法。,4p
222,SWOT分析,スウォットブンセキ,B,55,business,強み弱み機会脅威で考える方法。,swot
223,PEST分析,ペストブンセキ,B,54,business,政治経済社会技術の変化を見る方法。,pest
224,WBS,ダブリュービーエス,B,54,business,仕事を細かく分けて見える化したもの。,work breakdown structure|wbs
225,ガントチャート,ガントチャート,B,54,business,予定を横棒で見やすくした表。,gantt chart
226,レポーティング,レポーティング,B,54,business,状況をまとめて報告すること。,reporting
227,サブスクリプション,サブスクリプション,B,54,business,毎月など定期で料金を払って使う仕組み。,subscription
228,フリーミアム,フリーミアム,B,54,business,基本無料で一部だけ有料にする仕組み。,freemium
229,ローンチ,ローンチ,B,54,business,新しいサービスを世に出すこと。,launch
230,PMF,ピーエムエフ,B,54,business,商品が市場にしっかり合っている状態。,product market fit|pmf
231,オンボーディング,オンボーディング,B,53,business,初めて使う人が迷わず始められる案内。,onboarding
232,チャーン,チャーン,B,53,business,サービスをやめて離れてしまうこと。,churn
233,ナレッジ,ナレッジ,B,53,business,仕事に役立つ知識やコツ。,knowledge
234,ノウハウ,ノウハウ,B,53,business,うまくやるための具体的なやり方。,know how
235,会議,カイギ,B,53,business,話し合って決める場。,meeting
236,アグリー,アグリー,B,53,business,賛成すること。,agree
237,オンスケ,オンスケ,B,53,business,予定通り進んでいること。,on schedule
238,キャパ,キャパ,B,52,business,対応できる量の限界。,capacity
239,バッファ,バッファ,B,52,business,トラブルに備えた余裕。,buffer
240,コスパ,コスパ,B,52,business,かけたものに対するお得さ。,cost performance
241,シナジー,シナジー,B,52,business,組み合わせで相乗効果が出ること。,synergy
242,ステークホルダー,ステークホルダー,B,52,business,関係するすべての人や組織。,stakeholder
243,セグメント,セグメント,B,52,business,似たお客さんのまとまり。,segment
244,BtoB,ビートゥービー,B,52,business,会社向けの商売。,b2b
245,BtoC,ビートゥーシー,B,52,business,個人向けの商売。,b2c
246,SEM,エスイーエム,B,51,business,検索から集客する考え方全体。,search engine marketing|sem
247,SEO,エスイーオー,B,51,business,検索で上に出やすくする工夫。,search engine optimization|seo
248,CMS,シーエムエス,B,51,business,Webサイトを管理しやすくする仕組み。,content management system|cms
249,ソーシャルリスニング,ソーシャルリスニング,B,51,business,SNSの声を集めて調べること。,social listening
250,レコメンデーション,レコメンデーション,B,51,business,おすすめを自動で出すこと。,recommendation
251,スクレイピング,スクレイピング,B,51,it_dev,Webから必要情報を自動で集めること。,scraping
252,オムニチャネル,オムニチャネル,C,50,business,どこからでも同じように買い物できる仕組み。,omnichannel
253,キャッシュレス決済,キャッシュレスケッサイ,C,50,business,現金を使わず電子的に払うこと。,cashless
254,FinTech,フィンテック,C,50,business,金融とITを組み合わせた技術。,fintech
255,HR Tech,エイチアールテック,C,50,business,人事にITを活かす技術。,hr tech
256,Health Tech,ヘルステック,C,50,business,医療や健康にITを活かす技術。,health tech
257,InsurTech,インシュアテック,C,50,business,保険にITを活かす技術。,insurtech
258,IoT,アイオーティー,C,50,it_dev,モノがネットにつながる仕組み。,internet of things|iot
259,エッジAI,エッジエーアイ,C,50,ai_data,機械の近くでそのままAIを動かすこと。,edge ai
260,エッジコンピューティング,エッジコンピューティング,C,50,it_dev,遠くに送らず近くで処理する技術。,edge computing
261,M2M,エムツーエム,C,49,it_dev,機械どうしが自動で通信すること。,machine to machine|m2m
262,スマートファクトリー,スマートファクトリー,C,49,business,AIやIoTで賢く動く工場。,smart factory
263,予測分析,ヨソクブンセキ,C,49,ai_data,過去データから未来を予想する分析。,predictive analytics
264,時系列データ,ジケイレツデータ,C,49,ai_data,時間順に並んだデータ。,time series
265,クラスタリング,クラスタリング,C,49,ai_data,似たものをグループ分けすること。,clustering
266,回帰分析,カイキブンセキ,C,49,ai_data,数字を予測する分析方法。,regression
267,分類,ブンルイ,C,49,ai_data,どの種類に当てはまるかを分けること。,classification
268,トランスフォーマー,トランスフォーマー,C,49,ai_data,今の生成AIの中心になっているモデル構造。,transformer
269,自己注意機構,ジコチュウイキコウ,C,48,ai_data,文の中で大事な関係に注目する仕組み。,self attention
270,位置エンコーディング,イチエンコーディング,C,48,ai_data,言葉の順番をAIに伝える工夫。,positional encoding
271,デコーダ,デコーダ,C,48,ai_data,次の言葉を作り出す側の仕組み。,decoder
272,エンコーダ,エンコーダ,C,48,ai_data,入力情報を理解しやすい形に変える仕組み。,encoder
273,LoRA,ローラ,C,48,agent_ai,少ない計算でAIを調整しやすくする方法。,lora|low rank adaptation
274,量子化,リョウシカ,C,48,agent_ai,AIモデルを軽くして動かしやすくすること。,quantization
275,蒸発勾配,ジョウハツコウバイ,C,47,ai_data,深い学習で調整信号が弱くなりすぎる問題。,vanishing gradient
276,勾配降下法,コウバイコウカホウ,C,47,ai_data,少しずつ間違いを減らして学習する方法。,gradient descent
277,オプティマイザ,オプティマイザ,C,47,ai_data,学習をうまく進めるための更新ルール。,optimizer
278,損失関数,ソンシツカンスウ,C,47,ai_data,どれくらい間違っているかを示す数字。,loss function
279,正則化,セイソクカ,C,47,ai_data,過学習しすぎないように整える工夫。,regularization
280,アテンション,アテンション,C,47,ai_data,どこに注目するかを決める仕組み。,attention
281,ハイパーパラメータ,ハイパーパラメータ,C,46,ai_data,学習前に人が決める設定値。,hyperparameter
282,データ前処理,データマエショリ,C,46,ai_data,学習前にデータを整える作業。,preprocessing
283,欠損値,ケッソンチ,C,46,ai_data,抜けているデータ。,missing value
284,外れ値,ハズレチ,C,46,ai_data,他と大きく違う値。,outlier
285,正規化,セイキカ,C,46,ai_data,数字の幅をそろえて扱いやすくすること。,normalization
286,標準化,ヒョウジュンカ,C,46,ai_data,平均やばらつきをそろえる変換。,standardization
287,A/Bテスト,エービーテスト,C,46,business,二つを比べてどちらがよいか試す方法。,ab test
288,3C,サンシー,C,46,business,顧客・競合・自社の3つで考えること。,3c
289,スコープ,スコープ,C,45,business,今回やる範囲。,scope
290,要件定義,ヨウケンテイギ,C,45,business,何を作るかを先に決めること。,requirements
291,仕様,シヨウ,C,45,business,どう動くかを決めた内容。,spec
292,仕様書,シヨウショ,C,45,business,仕様をまとめた文書。,spec document
293,モックアップ,モックアップ,C,45,business,完成前の見た目イメージ。,mockup
294,プロトタイプ,プロトタイプ,C,45,business,試しに動く形まで作った見本。,prototype
295,ユーザーストーリー,ユーザーストーリー,C,45,business,利用者目線で書いたやりたいこと。,user story
296,ジョブ理論,ジョブリロン,C,45,business,人が何を達成したくて商品を使うかを考える方法。,jobs to be done|jtbd
297,PMBOK,ピンボック,C,44,business,プロジェクト管理の知識をまとめたガイド。,pmbok
298,ITIL,アイティル,C,44,it_dev,IT運用をうまく進める考え方。,itil
299,SPOC,スポック,C,44,business,問い合わせ窓口を一つにまとめること。,single point of contact|spoc
300,CSIRT,シーサート,C,44,it_dev,セキュリティ事故に対応するチーム。,csirt
